example_id                                                  | status | run_time        |
----------------------------------------------------------- | ------ | --------------- |
./spec/controllers/authentication_controller_spec.rb[1:1:1] | passed | 0.02385 seconds |
./spec/controllers/authentication_controller_spec.rb[1:2:1] | passed | 0.00939 seconds |
./spec/controllers/news_controller_spec.rb[1:1:1:1]         | passed | 0.07296 seconds |
./spec/controllers/news_controller_spec.rb[1:1:1:2]         | passed | 0.09663 seconds |
./spec/controllers/news_controller_spec.rb[1:1:1:3]         | passed | 0.08541 seconds |
./spec/controllers/news_controller_spec.rb[1:1:2:1]         | passed | 0.07995 seconds |
./spec/controllers/news_controller_spec.rb[1:2:1:1]         | passed | 0.04089 seconds |
./spec/controllers/news_controller_spec.rb[1:2:2:1]         | passed | 0.01361 seconds |
./spec/models/news_spec.rb[1:1]                             | passed | 0.21129 seconds |
./spec/models/news_spec.rb[1:2:1]                           | passed | 0.01914 seconds |
./spec/models/user_spec.rb[1:1]                             | passed | 0.03227 seconds |
